title,content_rating,budget,gross,imdb_score,facenumber_in_poster,num_critic_for_reviews,num_voted_users,num_user_for_reviews,movie_facebook_likes,cast_total_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,director_facebook_likes,genre,actors,year,revenue_millions,runtime_minutes,rating,votes
Avatar,PG-13,237000000.0,760505847.0,7.9,0.0,723.0,886204,3054.0,33000,4834,1000.0,936.0,855.0,0.0,"Action,Adventure,Fantasy","Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",2009,760.51,162,7.8,935408
Pirates of the Caribbean: At World's End,PG-13,300000000.0,309404152.0,7.1,0.0,302.0,471220,1238.0,0,48350,40000.0,5000.0,1000.0,563.0,"Action,Adventure,Fantasy","Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush",2007,309.4,169,7.1,498821
Spectre,PG-13,245000000.0,200074175.0,6.8,1.0,602.0,275868,994.0,85000,11700,11000.0,393.0,161.0,0.0,"Action,Adventure,Thriller","Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",2015,200.07,148,6.8,308981
The Dark Knight Rises,PG-13,250000000.0,448130642.0,8.5,0.0,813.0,1144337,2701.0,164000,106759,27000.0,23000.0,23000.0,22000.0,"Action,Thriller","Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman",2012,448.13,164,8.5,1222645
John Carter,PG-13,263700000.0,73058679.0,6.6,1.0,462.0,212204,738.0,24000,1873,640.0,632.0,530.0,475.0,"Action,Adventure,Sci-Fi","Taylor Kitsch, Lynn Collins, Willem Dafoe,Samantha Morton",2012,73.06,132,6.6,220667
Spider-Man 3,PG-13,258000000.0,336530303.0,6.2,0.0,392.0,383056,1902.0,0,46055,24000.0,11000.0,4000.0,0.0,"Action,Adventure","Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church",2007,336.53,139,6.2,406219
Spider-Man 3,PG-13,258000000.0,336530303.0,6.2,0.0,392.0,383071,1902.0,0,46055,24000.0,11000.0,4000.0,0.0,"Action,Adventure","Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church",2007,336.53,139,6.2,406219
Tangled,PG,260000000.0,200807262.0,7.8,1.0,324.0,294810,387.0,29000,2036,799.0,553.0,284.0,15.0,"Animation,Adventure,Comedy","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",2010,200.81,100,7.8,316459
Avengers: Age of Ultron,PG-13,250000000.0,458991599.0,7.5,4.0,635.0,462669,1117.0,118000,92000,26000.0,21000.0,19000.0,0.0,"Action,Adventure,Sci-Fi","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",2015,458.99,141,7.4,516895
Harry Potter and the Half-Blood Prince,PG,250000000.0,301956980.0,7.5,3.0,375.0,321795,973.0,10000,58753,25000.0,11000.0,10000.0,282.0,"Adventure,Family,Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",2009,301.96,153,7.5,351059
